DISTRICT,PERCENT_DIPLOMA,PERCENT_NON_DIPLOMA,PERCENT_STILL_ENROLLED,PERCENT_GED,PERCENT_DROPOUT
f5a6cc88,69,2,18,0,11
0a4984df,90,1,4,0,4
56f2c546,96,1,1,0,2
e93bd0b0,84,2,7,0,7
b469f4b9,79,1,7,0,14
4923e0df,89,1,5,1,5
be365094,89,1,7,0,3
f4ad021a,83,0,11,0,6
f2e50ebe,93,0,4,0,2
dbcd30a8,96,0,3,0,1
41ee21b5,78,0,14,0,8
4a3ddfc5,90,2,4,0,4
612c33fa,76,0,24,0,0
2b1762db,90,7,0,0,3
a3eb2321,100,0,0,0,0
b473588a,90,0,0,0,10
f9b0eb9f,92,0,4,0,4
ef63b732,90,0,2,0,8
b5953f96,88,0,0,0,13
e9c4dc9e,87,0,6,0,8
2852f4d2,90,0,5,0,5
61b50d6d,92,2,1,0,5
f642098c,91,0,2,0,8
7015370d,86,1,3,5,5
8490cf6c,69,1,13,3,15
af1af4c1,80,0,6,0,14
aad31e2a,88,1,2,3,7
9169637a,85,1,5,2,7
6ccacc87,89,0,2,2,7
c41f2a25,85,0,12,0,3
9b78d3f4,82,2,9,1,7
549eb20a,75,0,14,2,9
032f7ff7,82,1,7,1,10
5a13e38f,92,0,5,1,2
cafe79c3,93,0,4,1,2
c2d46611,80,0,7,0,13
02cbfd41,92,1,2,0,4
99c152d6,98,0,2,0,0
89814c1d,91,0,2,0,7
6a07f08d,88,5,2,0,5
7ff15405,88,6,3,0,3
4ff92975,75,3,7,1,15
350a575e,83,0,7,0,10
60c25e6f,98,0,1,0,1
911b4212,95,2,0,0,3
5475330e,85,1,9,4,1
ef3f1823,81,1,8,0,10
3b6fb75a,71,5,6,2,16
2456294d,89,2,0,2,8
9065b5c7,92,2,2,0,5
873bdda0,91,0,0,5,5
d2761e11,91,0,3,1,4
c997813f,91,3,1,0,5
cb02ffef,90,2,3,0,5
972e9e63,94,2,0,0,4
03fc60b1,79,1,12,0,7
7b384d18,87,0,3,0,10
12c87639,95,0,3,0,2
3fa68dd1,90,0,3,0,8
c3f0e5cf,92,0,0,0,8
c3d42e7f,71,0,12,0,16
88a477a8,92,4,2,0,2
0c409c33,85,0,10,0,5
3db6464f,84,1,3,2,10
14018166,90,0,3,3,5
4e5a2e52,90,0,10,0,0
45fba2a3,73,1,10,0,17
e08abedf,89,0,6,0,5
d71c7f93,91,0,7,0,2
3065ce4a,94,0,3,0,3
f8a201f0,83,2,11,0,4
de0d256c,71,1,17,2,9
e843faf2,89,0,8,0,3
86f7ebeb,88,1,3,4,4
30406d3b,90,2,6,0,2
7e14bce4,90,0,2,0,8
49965dcb,89,0,3,0,8
fa4bec9d,92,0,5,0,3
c11a4ada,76,2,2,2,18
3c2db4f2,80,7,7,0,7
03d79c47,86,2,8,0,4
fc00931c,84,0,6,2,8
0e5c73e0,91,0,3,0,6
073143d8,90,3,1,0,7
f7513f40,88,1,2,0,9
3e6b27e1,85,6,3,0,6
a7674f0b,91,0,2,0,8
042439c8,86,2,3,0,9
f0e2393b,88,1,7,0,5
277e6892,92,1,2,0,5
f3bc51a5,82,1,10,0,7
cbf4ee7f,100,0,0,0,0
90b67794,90,1,3,0,6
85e80272,73,0,14,0,13
a30813a6,92,2,4,0,1
70837489,97,0,3,0,0
55d41946,97,0,3,0,0
ed551792,76,0,4,1,18
fa48d165,94,3,0,0,3
8ce633b8,85,1,4,4,5
122a3204,85,2,3,3,7
9b9e8186,0,0,0,0,0
677f93d6,95,0,5,0,0
e13e9223,69,0,10,0,21
61ba287a,96,0,2,0,2
f660fee3,81,0,14,0,5
ea8b4e6b,97,0,0,0,3
823e5439,67,0,13,0,21
793f5bcb,95,0,0,0,5
8fb8e717,88,0,9,0,4
2c83760c,94,0,6,0,0
0526948c,100,0,0,0,0
c7d7b532,88,2,0,0,11
b12336c6,90,0,4,2,5
324a5a58,83,2,7,0,8
bc5a5794,80,2,8,0,11
23ffbac9,70,11,4,0,16
25157494,93,0,5,0,2
3b0868a0,82,1,4,1,11
cbc26878,51,1,18,0,29
ffde53db,89,1,7,0,3
81aa682e,95,0,5,0,1
197e59a9,93,0,3,1,3
669d8f0d,87,0,8,1,4
2af6256d,91,1,5,1,3
87a533e9,88,0,8,0,4
12895c04,95,0,4,0,2
802257b5,93,0,4,0,2
aa39ffd4,94,0,3,0,2
5a27975f,88,0,7,0,5
53338db3,96,1,2,0,1
fd34f121,70,1,17,1,11
0e1af04e,83,0,12,0,5
24e10c30,85,1,7,0,7
f81bf818,83,0,5,0,12
6a547341,90,1,6,1,3
f8014e7a,84,2,2,0,10
208e804d,94,1,3,0,2
f48a32fd,96,0,1,0,3
5965944b,95,0,2,0,3
ec57744f,97,0,3,0,1
800f5b9b,90,3,2,0,4
291b2dc2,95,0,2,0,3
4a4f42a5,98,0,2,0,0
2e36d246,87,0,6,0,7
eedb8b19,89,0,9,0,3
348fbff9,82,0,8,0,10
809a2383,94,1,4,0,1
f8b897af,95,1,0,0,4
0cf92398,91,0,2,0,7
d8b01539,94,0,4,0,2
bfd12494,88,0,7,0,4
e74d2883,83,1,9,0,8
697b51ec,86,1,4,2,7
ac385379,89,0,7,0,4
ecdd0215,100,0,0,0,0
e817a720,86,0,14,0,0
ed4fca0b,89,6,2,0,3
bea47445,100,0,0,0,0
6a46f52e,92,3,3,0,3
d8d475c0,85,0,8,0,8
5b1167cc,83,0,6,0,11
6b8239cc,91,0,0,0,9
69821e09,91,0,4,0,4
fe954702,77,3,8,0,12
f5ba5951,92,3,0,0,5
d6b94252,91,5,2,0,1
f94d6798,94,3,0,0,3
d1d53cec,82,1,8,0,9
656751ef,82,0,9,0,9
df9c43f5,100,0,0,0,0
d1071bcd,70,4,8,0,17
d064f728,82,0,13,0,4
39349046,90,0,6,0,4
1f649cf3,88,3,0,0,9
9d219c54,90,2,3,0,5
eb13fbfb,91,0,5,0,5
7ab60d7d,87,1,6,0,6
81766cf2,98,0,2,0,0
590700b9,100,0,0,0,0
4fe6bfa1,97,0,1,0,2
53d4c492,98,0,0,0,2
f7482f64,85,0,2,0,13
d8df460a,92,0,2,0,6
b28169af,82,1,12,0,5
eea1e3b0,84,1,5,0,10
599097cd,89,1,5,0,5
d34bbb0f,92,0,5,0,3
88df97a7,95,0,5,0,0
7d4aed24,87,0,9,0,4
6c6a49dd,0,0,0,0,0
d4de0bb5,60,40,0,0,0
ccfc9242,91,0,9,0,0
5b441bcd,96,2,0,0,2
8859ad99,91,0,4,0,4
a7797942,66,2,13,0,18
966ccb86,83,4,4,0,9
4ca35abd,96,0,0,0,4
cfc1efc7,94,0,3,0,3
5a890414,90,0,10,0,0
3618603b,91,5,0,0,5
70830e16,87,0,2,0,11
790dae37,84,1,5,0,10
317e3b58,91,3,3,0,2
7680f48c,91,0,6,0,3
59f979a4,91,2,3,0,5
b9d004be,93,1,2,0,5
65394ead,89,0,2,2,8
9d7fffb1,88,2,2,0,7
fb08ef9b,93,3,0,0,3
7a078424,100,0,0,0,0
1275bdaa,87,0,0,0,13
99ee9c55,65,2,15,2,15
0b7dd1f3,91,1,4,0,4
8b22155e,89,3,5,0,3
b4510f70,93,4,4,0,0
0d18655a,95,0,1,0,4
a9370271,89,7,1,0,3
d8d3739b,94,0,3,0,3
e0500a14,97,0,1,0,1
8b7e9679,100,0,0,0,0
1379c3bd,81,0,9,0,10
d4730f6d,93,0,6,0,1
866770b0,91,0,0,0,9
20bc2b31,82,0,12,0,6
25b99a4e,80,0,2,0,17
7bad0d30,84,0,10,0,6
4600973a,69,0,8,0,23
13958f6f,95,1,4,0,0
2654318f,73,4,8,4,12
9c208cb5,88,0,2,0,8
fa7443bd,96,0,0,0,4
8b5afc6e,84,1,2,1,12
4b1feb7f,89,2,7,0,2
c0c1cd12,86,0,3,2,9
10091fda,88,0,9,0,3
a9ef1339,92,0,6,1,1
d185d106,94,0,3,2,1
6a11c07e,85,0,9,2,4
e963b7c3,87,1,10,0,1
b1353702,86,0,8,0,6
874df40f,94,3,1,0,1
1cbc432d,95,0,2,0,3
2a9a7a83,93,0,4,1,2
7ac032f8,92,0,5,0,2
d014aa2a,91,0,3,2,3
403ef1f2,94,0,4,0,1
67078f77,86,0,12,0,3
1eaf684b,96,0,4,0,0
d9422572,89,0,5,1,5
8048771c,59,1,27,0,14
c1503c06,89,3,5,1,2
4ef529a3,85,0,8,2,4
9b615b42,95,0,3,0,1
cad6292f,90,0,6,0,4
e1365cae,69,1,16,0,14
21371a35,92,3,0,0,6
d72e5814,93,1,1,0,5
fd57bcf4,87,0,8,0,5
6f15367a,83,0,9,0,9
d9729752,84,0,8,1,6
20aca9cd,76,1,19,0,3
97e270c3,86,1,11,1,2
3b9e3356,95,0,4,0,1
b315bc19,96,0,3,1,1
5a1bba7f,98,0,2,0,0
aff42a2a,78,2,15,0,5
fa0906fe,82,0,16,2,0
2d2885c3,96,0,3,0,0
9553ca9d,95,0,5,0,0
18136b5f,95,0,5,0,0
c03c0682,90,0,7,1,1
49b54f2e,83,1,14,0,3
255d42b2,100,0,0,0,0
6b23ae78,95,0,4,0,1
6055ca16,95,0,5,0,0
812de73d,98,0,2,0,0
e4595c7c,97,0,2,0,0
f1bf6a92,97,0,2,0,1
a39a728d,93,0,5,0,1
fd0eec96,94,0,4,0,1
cca95b63,95,0,4,0,0
8ceec361,96,0,3,1,0
913294d6,95,0,2,0,3
9e86014c,81,0,14,0,5
1e95357f,98,0,2,0,1
4adfedc1,98,0,2,0,0
889e6e71,99,0,0,0,1
cd2d5903,98,0,1,0,0
dcb74711,95,0,5,0,0
8e17990f,98,1,1,0,0
3956caf1,95,0,3,0,2
5cba9170,94,0,5,0,1
c8a137af,96,0,3,0,1
a2bb3105,97,0,1,0,1
a6b1cd07,96,0,2,0,2
6e7fdfdb,99,0,1,0,0
d8604d52,100,0,0,0,0
3da7bc6b,98,0,2,0,0
f448f94d,89,0,9,0,2
dc395d76,96,0,3,0,1
1ed3f2ff,98,0,2,0,0
5fa79b97,96,0,2,0,2
4d875b42,97,0,3,0,1
3c1108fe,75,0,17,1,6
3a6e9310,82,0,12,1,5
0caf2225,89,0,9,0,2
971c4ca7,76,1,18,2,4
df852cbf,76,1,16,1,6
33780d90,75,0,19,1,5
c8839316,69,0,20,1,10
2b01762f,69,0,21,1,9
7946b1bb,73,0,18,1,7
05c15737,85,0,10,1,4
e31fd4f3,79,1,12,0,8
067f6965,67,1,20,2,11
b49e2ea9,88,0,9,0,3
db970afe,85,0,10,0,4
acc7b851,76,0,18,1,6
a695a5e5,61,1,29,1,8
4b29ffa8,79,0,16,0,4
c47dbb4a,68,0,26,0,6
cd058ba8,80,0,15,0,3
5b88b121,78,0,16,0,6
a35de918,78,0,15,1,5
3b4ff962,86,0,11,0,3
24685265,54,1,36,1,8
02becee6,74,0,17,0,8
5ccd3c25,81,0,15,1,3
99134ba3,80,0,15,0,4
65e3844b,88,0,9,1,2
24a3290a,80,0,13,1,6
81294735,86,0,11,1,2
2fd24d9c,79,1,17,0,3
664e4e13,81,0,13,1,4
fc2b4e20,84,0,11,1,4
cd76f0c5,90,0,2,0,7
2a2b22ec,90,0,6,1,2
06d8d972,93,1,0,0,6
688e2ab2,88,0,5,2,5
f0e92063,79,1,9,3,7
ca8b0268,84,0,4,2,11
a816fe54,94,0,1,2,3
7780a877,92,1,3,0,4
b7aadc62,97,0,3,0,0
b0465b74,84,0,3,3,11
8d56bd00,94,2,2,0,1
e21a0383,83,3,5,1,8
84f968f3,100,0,0,0,0
e9716727,95,0,4,0,1
6cac0aa3,86,0,4,0,10
f9769872,92,0,5,0,3
32a5c81a,96,0,0,0,4
0b5f6aa2,72,0,11,3,14
f4bf3e1c,96,0,2,0,2
2c2c8976,90,1,5,0,5
a3d9c38f,95,1,0,0,4
78f89b66,63,1,22,0,13
8d45acd6,96,0,1,0,3
681485e7,94,0,4,0,2
609c25c9,92,0,5,0,3
d79b3679,94,0,3,1,2
cc871859,85,0,8,2,5
b3ef3b08,86,0,8,3,2
4899fd0f,96,0,1,1,2
8536aa77,89,1,4,2,4
498dc98e,96,2,0,0,2
65f84c01,96,0,2,1,1
344199c9,88,2,3,4,3
8c25b58e,95,0,5,0,0
b2c2d5e0,94,1,3,0,2
cd16b2fc,95,0,2,1,2
e0690937,91,0,5,0,4
439700c8,90,0,4,0,6
cb6506fc,84,1,8,1,6
6b92c8e1,97,0,2,0,1
12a3be48,69,1,19,5,6
9fd78524,91,0,5,0,5
802bed77,92,0,3,0,4
a8f975fc,94,0,2,0,5
d91848d7,80,1,14,0,6
578935bb,94,1,1,0,3
cc988e4e,93,0,3,0,3
58867cdc,91,0,2,0,7
079528b8,92,0,4,0,4
f71fecad,94,0,4,0,2
e1bd51d1,96,0,1,0,2
dc9a6946,95,1,2,0,2
e384ee57,88,0,10,0,2
ccc5aaef,97,0,2,0,1
39dd235d,91,2,4,0,4
351eb113,94,1,2,0,2
fdee0dbf,88,0,12,0,0
b05058da,85,0,10,0,5
7aaed0f7,90,1,6,0,3
b65b164a,90,0,7,0,3
bdb325de,0,0,0,0,0
efa974af,86,1,6,0,7
c6a37ac2,64,0,21,0,15
ab0464d4,79,1,8,1,13
d365c1a1,91,0,0,4,4
63398640,95,0,3,1,1
897e8619,90,0,8,0,2
de38caa0,83,1,6,0,11
6e68cbc4,92,2,2,2,3
fb44eede,81,4,5,0,10
998af63e,86,2,2,0,10
3a3334a5,90,5,3,0,3
4d5b48a0,83,4,3,0,10
2e98cf4c,82,0,11,0,6
ec115b71,85,1,6,0,8
a0c33136,88,1,5,0,7
a5fd67fc,88,2,6,0,5
3ad9c2c5,83,1,7,0,9
8a137f3c,95,0,4,0,1
4ab2251c,96,2,0,0,2
74e7b4b4,90,0,5,0,6
b76b0c38,94,0,0,6,0
7f8fd7f6,96,0,0,0,4
7b7dfa62,84,0,8,0,8
177c759a,90,5,5,0,0
e44fd4ea,87,9,0,0,4
3ae1517c,91,0,3,0,6
9336b313,83,0,5,0,12
4ff11406,91,2,3,0,5
6abaa1f9,90,2,3,0,5
3e13740f,89,3,6,0,3
74cd800b,97,3,0,0,0
4b5a7097,82,0,4,0,14
47da4e62,92,0,7,0,1
54d19cee,92,0,5,0,3
67ed1678,95,1,3,0,1
393a1938,95,0,1,0,4
97421695,90,0,5,1,4
a2fca15c,88,0,8,0,5
ea4cf976,86,1,7,0,6
6f9ed2af,94,0,2,0,3
997a8d4f,88,0,9,0,3
6dfb0757,86,0,5,0,9
270e7faa,85,0,6,0,9
f5afede2,93,0,4,0,3
3785c993,90,0,5,0,5
9cbd274c,96,0,3,0,1
c9a2b1b0,81,2,8,0,9
dd10895b,93,0,6,0,0
d6ac9ac0,96,0,2,1,1
99dd2c93,86,0,11,0,3
84414dae,95,0,3,0,3
5af5f920,89,0,3,0,7
e9f236c2,92,0,7,0,1
89203e58,90,0,7,0,3
22dfa5f4,72,0,15,0,13
3641dac9,85,3,3,0,10
92cebd58,84,2,4,5,5
7a65c3e3,71,14,0,0,14
f8c4c5b2,94,6,0,0,0
6f4228af,75,2,5,0,18
8f960266,85,5,0,0,10
5e8c2d4a,81,3,3,3,9
f732a2f1,88,0,6,0,3
30470935,83,2,2,8,6
3add5c11,71,4,14,1,10
cafea0e1,87,4,4,0,4
5ba25712,80,5,8,0,8
b3d9fa36,79,7,6,1,7
9fa44282,90,2,8,0,0
e11457b8,84,0,13,0,3
d9613a5e,82,2,3,2,10
f2cc2017,75,8,8,3,8
f8203903,95,0,2,0,2
018c1258,94,1,3,0,2
07d1aeca,85,1,7,0,7
fa97a1fb,87,0,4,0,9
7615f6da,83,2,8,0,8
421dc7e2,88,2,5,0,5
9102b726,84,1,4,6,5
47e1950d,95,1,2,0,2
a1add210,92,0,4,0,3
703a7450,98,1,0,0,1
3ea68644,90,0,4,0,6
b713d31c,95,0,3,0,3
13359051,82,2,8,0,8
8f4aeea5,92,0,3,0,5
1c93f5d5,88,3,3,0,5
fbb852a1,84,0,6,2,7
2daae03c,64,0,19,2,15
4488ac5e,89,0,11,0,0
074fc041,57,0,14,0,29
30171c93,88,2,5,0,5
3d4115e7,87,0,4,0,8
80a486e4,97,0,3,0,0
e9cfda85,95,0,0,0,5
a7a0d520,87,0,9,0,4
674d9324,90,0,3,0,7
86062609,87,4,7,2,0
1fb41aa8,83,0,7,0,10
ebbb167a,80,2,4,0,13
f66e26af,75,1,10,0,15
486e0938,89,0,4,0,7
f1f9003f,93,4,4,0,0
63574727,84,1,4,0,11
c101bd71,90,0,10,0,0
ff347276,92,0,5,0,3
fd78ffbe,78,1,14,0,8
28dee314,95,3,0,0,3
dda4588b,88,0,0,0,12
46ff984a,88,6,3,0,3
37776b86,97,0,0,0,3
239470d4,92,0,8,0,0
1e1992d9,97,0,3,0,0
6ae4d6ba,93,0,5,0,2
12e9c3d6,95,1,2,0,2
43085919,90,0,8,0,2
7961ccf1,91,0,7,0,2
5a717170,90,0,7,0,2
b831f90d,85,0,12,1,3
cf68a02b,74,0,20,0,5
d2b85a77,92,0,5,1,1
8d4784ba,64,0,26,0,9
594030af,97,0,3,0,1
e1b7863c,92,0,4,0,3
a3e8c0f7,93,0,5,0,2
a56dce38,98,0,1,0,1
726054d5,94,0,5,0,1
46a60acd,97,0,2,0,0
88e43072,96,0,1,0,2
afbdb81c,90,0,7,0,3
68eff723,83,0,11,0,5
a6bd5b8b,85,0,14,0,1
fe1ad221,84,1,10,0,5
668ba9d5,93,1,6,0,1
e307534e,80,0,16,0,5
91da678c,88,0,8,0,4
ade69084,90,0,7,0,2
9c0aa563,95,0,3,0,2
fb372991,100,0,0,0,0
6ffb397b,85,1,11,1,2
821d9ec3,94,0,4,0,1
77587d44,93,1,5,0,1
75893f78,97,0,2,0,0
698dd206,97,0,2,1,1
8fef7189,88,0,8,0,4
5a02ea10,91,0,8,0,2
63cf8264,95,0,4,0,1
76971849,93,0,4,0,2
c61440fd,95,0,4,0,0
02f43111,98,0,2,0,1
888d4b6f,95,0,3,0,1
36463279,94,0,4,0,2
5dbe8805,99,0,1,0,0
ae7b92cc,77,1,17,0,5
b3ef1db0,69,0,24,0,7
ef70b3e0,96,0,3,0,1
3b013e37,78,0,11,0,11
ca33e5b1,0,0,0,0,0
e6a72d58,100,0,0,0,0
ba945a1c,97,0,2,0,0
3705f686,93,0,4,2,1
9929ae34,94,0,4,0,2
c3be045b,92,0,5,0,3
b77ad2c6,89,0,10,0,1
9525ac18,89,0,5,0,5
bcb48695,95,0,4,0,1
e30f5f03,67,0,33,0,0
15cdd386,80,0,15,0,5
310346de,73,0,15,0,13
244e56a7,87,0,11,0,2
437a3ed4,77,0,10,0,13
163327e1,91,0,6,0,2
efe975dc,67,1,16,1,16
404cd63e,74,0,10,0,16
2c28cff1,94,0,0,0,6
8bc3afbf,66,0,16,6,13
0d08a299,76,0,14,1,9
6806d6b9,88,1,4,0,7
9a1f6896,89,0,5,0,6
4d7a6eac,92,2,2,2,2
533e9547,86,1,8,0,5
82c01150,90,4,1,0,4
f8c56eb0,91,0,5,0,5
aab19b8c,86,6,3,0,6
1ff24f71,78,2,8,5,6
1cfd204b,50,10,30,0,10
9724052e,84,3,11,0,2
9fc1fbb7,83,1,8,2,5
17036b74,92,2,4,0,2
38ca25ba,89,0,2,2,6
dc333e22,85,1,9,2,2
4a0cb725,78,1,11,0,10
ec32ddc3,96,1,1,0,2
eac3bdb0,91,2,5,0,2
dc658a18,92,0,4,0,4
e8c57c5c,94,0,5,1,1
767e49e2,83,0,6,2,9
4db5d948,89,0,4,1,5
9a7f2290,91,0,4,0,6
d5ddc422,77,0,10,3,10
a4fe578c,100,0,0,0,0
45d2d96b,72,0,8,0,20
fd2c6e1c,79,3,5,1,12
9eaf69aa,71,0,8,0,21
ec4fa5cb,92,0,0,2,7
3a78039f,82,0,3,0,15
fa451512,93,2,2,0,4
f0430713,87,0,11,0,2
02178e65,94,0,6,0,0
33fa2176,68,4,18,0,11
fdeedbab,67,0,13,0,20
41d1bb03,78,5,9,1,7
85ee7f1f,97,0,3,0,0
cb7fec21,94,0,3,0,3
752383f2,77,3,10,0,10
587672ff,88,3,3,0,6
4a352338,85,2,5,0,9
74f73cc7,86,4,4,0,6
0e9d2d5a,87,1,5,0,7
d82b4bef,78,0,9,0,12
78d203ff,75,0,14,0,11
8c4fea07,91,4,4,0,2
0abe48c0,89,1,6,0,4
f74ceb92,91,1,4,0,4
567e3b61,93,0,4,0,3
89ae2251,79,3,6,0,12
afd35977,90,0,1,0,8
ddab905f,92,0,3,0,5
26eec28a,79,1,8,0,11
0231335c,99,0,1,0,0
f0449ff1,91,0,4,0,4
acef9ca0,98,0,2,1,0
3dc5ef9f,92,0,5,2,2
c594c06c,97,0,2,1,0
93df5d67,92,1,5,0,1
20b6b2ba,100,0,0,0,0
c485bcf7,92,2,5,0,1
f1072888,96,0,4,0,0
8dc007bb,97,0,2,1,0
3ffddf21,100,0,0,0,0
74eb220b,95,0,5,0,1
ae869fd9,97,0,2,0,1
4080b31e,86,0,12,0,2
e96447ae,85,0,15,0,0
507a6a38,33,0,50,0,17
7da1a9bd,99,0,0,0,0
eaaf0cb7,95,0,3,0,2
971c8a9d,98,0,1,0,2
6a551cf4,14,0,76,0,10
93049883,97,0,3,0,0
2d2ff452,0,0,100,0,0
8ad60c67,97,0,3,0,0
1350a498,73,0,23,0,3
90308148,99,0,0,0,0
d3aa9013,80,0,16,0,4
a4603c93,98,1,2,0,0
e5b38057,98,0,2,0,0
0d2ba9fb,76,0,20,2,2
bff947f4,99,0,1,0,0
53618e4a,74,0,18,0,8
aeb77c32,99,0,0,0,0
61e0ecaf,98,0,1,0,0
e15c1a8c,96,0,4,0,0
abd700c8,87,1,9,0,3
c3dfd813,96,0,4,0,0
b6f00c9b,99,0,1,0,0
98a63e20,97,0,2,0,1
3e8a44b8,90,0,7,1,2
2691848f,86,0,13,0,2
5309dbe5,95,0,4,0,0
1b7019f8,94,0,5,0,1
86ea5208,90,2,4,0,4
7220df02,88,0,10,0,3
9f98ea96,94,3,0,0,3
15c4cb96,81,0,11,2,6
1e8e794b,85,2,2,0,11
d5dbbc93,78,8,8,0,8
